function, input, cycles,
reck_it, 228000, 555564,
reck_it, 229000, 557127,
reck_it, 230000, 557127,
reck_it, 231000, 558689,
reck_it, 232000, 560252,
reck_it, 233000, 561814,
reck_it, 234000, 561814,
reck_it, 235000, 563377,
reck_it, 236000, 564939,
reck_it, 237000, 566502,
reck_it, 238000, 568064,
reck_it, 239000, 568064,
reck_it, 240000, 569627,
reck_it, 241000, 571189,
reck_it, 242000, 572752,
reck_it, 243000, 574314,
reck_it, 244000, 575877,
reck_it, 245000, 575877,
reck_it, 246000, 577439,
reck_it, 247000, 579002,
reck_it, 248000, 580564,
reck_it, 249000, 582127,
reck_it, 250000, 583689,
reck_it, 251000, 583689,
reck_it, 252000, 585252,
reck_it, 253000, 586814,
reck_it, 254000, 588377,
reck_it, 255000, 589939,
reck_it, 256000, 591502,
reck_it, 257000, 593064,
reck_it, 258000, 594627,
reck_it, 259000, 594627,
reck_it, 260000, 596189,
reck_it, 261000, 597752,
reck_it, 262000, 599314,
reck_it, 263000, 600877,
reck_it, 264000, 602439,
reck_it, 265000, 604002,
reck_it, 266000, 605564,
reck_it, 267000, 607127,
reck_it, 268000, 608689,
reck_it, 269000, 610252,
reck_it, 270000, 610252,
reck_it, 271000, 611814,
reck_it, 272000, 613377,
reck_it, 273000, 614939,
reck_it, 274000, 616502,
reck_it, 275000, 618064,
reck_it, 276000, 619627,
reck_it, 277000, 621189,
reck_it, 278000, 622752,
reck_it, 279000, 624314,
reck_it, 280000, 625877,
reck_it, 281000, 625877,
reck_it, 282000, 627439,
reck_it, 283000, 629002,
reck_it, 284000, 630564,
reck_it, 285000, 632127,
reck_it, 286000, 633689,
reck_it, 287000, 635252,
reck_it, 288000, 636814,
reck_it, 289000, 638377,
reck_it, 290000, 639939,
reck_it, 291000, 641502,
reck_it, 292000, 643064,
reck_it, 293000, 644627,
reck_it, 294000, 646189,
reck_it, 295000, 647752,
reck_it, 296000, 649314,
reck_it, 297000, 650877,
reck_it, 298000, 652439,
reck_it, 299000, 654002,
reck_it, 300000, 655564,
reck_it, 301000, 657127,
reck_it, 302000, 658689,
reck_it, 303000, 660252,
reck_it, 304000, 661814,
reck_it, 305000, 663377,
reck_it, 306000, 664939,
reck_it, 307000, 666502,
reck_it, 308000, 668064,
reck_it, 309000, 669627,
reck_it, 310000, 671189,
reck_it, 311000, 672752,
reck_it, 312000, 674314,
reck_it, 313000, 675877,
reck_it, 314000, 677439,
reck_it, 315000, 680564,
reck_it, 316000, 682127,
reck_it, 317000, 683689,
reck_it, 318000, 685252,
reck_it, 319000, 686814,
reck_it, 320000, 688377,
reck_it, 321000, 689939,
reck_it, 322000, 691502,
reck_it, 323000, 693064,
reck_it, 324000, 694627,
reck_it, 325000, 696189,
reck_it, 326000, 697752,
reck_it, 327000, 699314,
reck_it, 328000, 700877,
reck_it, 329000, 704002,
reck_it, 330000, 705564,
reck_it, 331000, 707127,
reck_it, 332000, 708689,
reck_it, 333000, 710252,
reck_it, 334000, 711814,
reck_it, 335000, 713377,
reck_it, 336000, 714939,
reck_it, 337000, 718064,
reck_it, 338000, 719627,
reck_it, 339000, 721189,
reck_it, 340000, 722752,
reck_it, 341000, 724314,
reck_it, 342000, 725877,
reck_it, 343000, 727439,
reck_it, 344000, 730564,
reck_it, 345000, 732127,
reck_it, 346000, 733689,
reck_it, 347000, 735252,
reck_it, 348000, 736814,
reck_it, 349000, 739939,
reck_it, 350000, 741502,
reck_it, 351000, 743064,
reck_it, 352000, 744627,
reck_it, 353000, 747752,
reck_it, 354000, 749314,
reck_it, 355000, 750877,
reck_it, 356000, 752439,
reck_it, 357000, 755564,
reck_it, 358000, 757127,
reck_it, 359000, 758689,
reck_it, 360000, 760252,
reck_it, 361000, 763377,
reck_it, 362000, 764939,
reck_it, 363000, 766502,
reck_it, 364000, 768064,
reck_it, 365000, 771189,
reck_it, 366000, 772752,
reck_it, 367000, 774314,
reck_it, 368000, 775877,
reck_it, 369000, 779002,
reck_it, 370000, 780564,
reck_it, 371000, 782127,
reck_it, 372000, 783689,
reck_it, 373000, 786814,
reck_it, 374000, 788377,
reck_it, 375000, 789939,
reck_it, 376000, 793064,
reck_it, 377000, 794627,
reck_it, 378000, 796189,
reck_it, 379000, 797752,
reck_it, 380000, 799314,
reck_it, 381000, 802439,
reck_it, 382000, 804002,
reck_it, 383000, 805564,
reck_it, 384000, 808689,
reck_it, 385000, 810252,
reck_it, 386000, 811814,
reck_it, 387000, 814939,
reck_it, 388000, 816502,
reck_it, 389000, 818064,
reck_it, 390000, 821189,
reck_it, 391000, 822752,
reck_it, 392000, 824314,
reck_it, 393000, 827439,
reck_it, 394000, 829002,
reck_it, 395000, 830564,
reck_it, 396000, 833689,
reck_it, 397000, 835252,
reck_it, 398000, 836814,
reck_it, 399000, 839939,
reck_it, 400000, 841502,
reck_it, 401000, 843064,
reck_it, 402000, 846189,
reck_it, 403000, 847752,
reck_it, 404000, 849314,
reck_it, 405000, 852439,
reck_it, 406000, 854002,
reck_it, 407000, 855564,
reck_it, 408000, 858689,
reck_it, 409000, 860252,
reck_it, 410000, 861814,
reck_it, 411000, 864939,
reck_it, 412000, 866502,
reck_it, 413000, 869627,
reck_it, 414000, 871189,
reck_it, 415000, 872752,
reck_it, 416000, 875877,
reck_it, 417000, 877439,
reck_it, 418000, 880564,
reck_it, 419000, 882127,
reck_it, 420000, 883689,
reck_it, 421000, 886814,
reck_it, 422000, 888377,
reck_it, 423000, 891502,
reck_it, 424000, 893064,
reck_it, 425000, 894627,
reck_it, 426000, 897752,
reck_it, 427000, 899314,
reck_it, 428000, 902439,
reck_it, 429000, 904002,
reck_it, 430000, 907127,
reck_it, 431000, 908689,
reck_it, 432000, 910252,
reck_it, 433000, 913377,
