# memory size (bytes)	cycles
556000	3125
557000	3125
558000	3125
559000	3125
560000	1562
561000	3125
562000	3125
563000	3125
564000	3125
565000	3125
566000	3125
567000	3125
568000	3125
569000	3125
570000	1562
571000	3125
572000	3125
573000	3125
574000	3125
575000	3125
576000	3125
577000	3125
578000	3125
579000	3125
580000	3125
581000	3125
582000	1562
583000	3125
584000	3125
585000	3125
586000	3125
587000	3125
588000	3125
589000	3125
590000	3125
591000	3125
592000	1562
593000	3125
594000	3125
595000	1562
596000	3125
597000	3125
598000	3125
599000	3125
600000	3125
601000	4687
602000	3125
603000	1562
604000	4687
605000	3125
606000	3125
607000	1562
608000	3125
609000	3125
610000	3125
611000	3125
612000	3125
613000	3125
614000	3125
615000	3125
616000	3125
617000	3125
618000	3125
619000	3125
620000	4687
621000	1562
622000	4687
623000	3125
624000	3125
625000	3125
626000	3125
627000	3125
628000	3125
629000	3125
630000	3125
631000	3125
632000	4687
633000	3125
634000	3125
635000	3125
636000	3125
637000	3125
638000	3125
639000	3125
640000	3125
641000	4687
642000	3125
643000	3125
644000	3125
645000	3125
646000	3125
647000	3125
648000	3125
649000	4687
650000	3125
651000	3125
652000	3125
653000	3125
654000	3125
655000	4687
656000	3125
657000	3125
658000	3125
659000	3125
660000	4687
661000	3125
662000	3125
663000	3125
664000	3125
665000	3125
666000	3125
667000	4687
668000	3125
669000	3125
670000	3125
671000	3125
672000	4687
673000	3125
674000	3125
675000	3125
676000	3125
677000	4687
678000	3125
679000	3125
680000	3125
681000	3125
682000	4687
683000	3125
684000	3125
685000	3125
686000	4687
687000	3125
688000	3125
689000	3125
690000	4687
691000	3125
692000	3125
693000	3125
694000	4687
695000	3125
696000	3125
697000	3125
698000	4687
699000	3125
700000	3125
701000	4687
702000	3125
703000	3125
704000	4687
705000	3125
706000	3125
707000	4687
708000	3125
709000	3125
710000	4687
711000	3125
712000	3125
713000	4687
714000	3125
715000	4687
716000	3125
717000	4687
718000	3125
719000	3125
720000	4687
721000	3125
722000	3125
723000	4687
724000	3125
725000	3125
726000	3125
727000	4687
728000	3125
729000	4687
730000	3125
731000	3125
732000	4687
733000	3125
734000	4687
735000	3125
736000	3125
737000	4687
738000	3125
739000	4687
740000	3125
741000	3125
742000	4687
743000	3125
744000	4687
745000	3125
746000	3125
747000	4687
748000	3125
749000	4687
750000	3125
751000	4687
752000	3125
753000	3125
754000	4687
755000	3125
756000	4687
757000	3125
758000	4687
759000	3125
760000	4687
761000	3125
762000	4687
763000	3125
764000	4687
765000	3125
766000	4687
767000	4687
768000	3125
769000	4687
770000	3125
771000	4687
772000	3125
773000	4687
774000	3125
775000	4687
776000	4687
777000	3125
778000	4687
779000	4687
780000	3125
781000	4687
782000	3125
783000	4687
784000	4687
785000	3125
786000	4687
787000	4687
788000	3125
789000	4687
790000	4687
791000	3125
792000	4687
793000	4687
794000	3125
795000	4687
796000	4687
797000	3125
798000	4687
799000	4687
800000	3125
801000	4687
802000	4687
803000	4687
804000	3125
805000	4687
806000	4687
807000	4687
808000	3125
809000	4687
810000	4687
811000	3125
812000	4687
813000	4687
814000	4687
815000	4687
816000	3125
817000	6250
818000	3125
819000	4687
820000	4687
821000	4687
822000	3125
823000	4687
824000	4687
825000	4687
826000	3125
827000	4687
828000	4687
829000	4687
830000	4687
831000	3125
832000	4687
833000	4687
834000	4687
835000	4687
836000	3125
837000	4687
838000	4687
839000	4687
840000	4687
841000	4687
842000	3125
843000	4687
844000	4687
845000	4687
846000	4687
847000	4687
848000	3125
849000	4687
850000	4687
851000	4687
852000	4687
853000	4687
854000	4687
855000	4687
856000	3125
857000	4687
858000	4687
859000	4687
860000	4687
861000	4687
862000	4687
863000	4687
864000	3125
865000	4687
866000	4687
867000	4687
868000	4687
869000	4687
870000	4687
871000	4687
872000	4687
873000	4687
874000	4687
875000	4687
876000	4687
877000	4687
878000	4687
879000	4687
880000	4687
881000	3125
882000	4687
883000	6250
884000	4687
885000	4687
886000	4687
887000	4687
888000	4687
889000	4687
890000	4687
891000	4687
892000	4687
893000	4687
894000	4687
895000	4687
896000	4687
897000	4687
898000	4687
899000	4687
900000	4687
901000	4687
902000	6250
903000	4687
904000	4687
905000	4687
906000	4687
907000	4687
908000	4687
909000	4687
910000	4687
911000	4687
912000	4687
913000	4687
914000	4687
915000	4687
916000	6250
917000	4687
918000	4687
919000	4687
920000	4687
921000	4687
922000	4687
923000	4687
924000	6250
925000	4687
926000	4687
927000	4687
928000	4687
929000	6250
930000	4687
931000	4687
932000	4687
933000	4687
934000	4687
935000	4687
936000	6250
937000	4687
938000	4687
939000	4687
940000	4687
941000	6250
942000	4687
943000	4687
944000	4687
945000	4687
946000	4687
947000	6250
948000	4687
949000	4687
950000	4687
951000	4687
952000	4687
953000	6250
954000	4687
955000	4687
956000	4687
957000	4687
958000	4687
959000	4687
960000	6250
961000	4687
962000	4687
963000	4687
964000	4687
965000	4687
966000	4687
967000	4687
968000	6250
969000	4687
970000	4687
971000	4687
972000	4687
973000	6250
974000	4687
975000	4687
976000	4687
977000	4687
978000	6250
979000	4687
980000	4687
981000	4687
982000	6250
983000	4687
984000	4687
985000	6250
986000	4687
987000	4687
988000	4687
989000	6250
990000	4687
991000	4687
992000	6250
993000	4687
994000	4687
995000	4687
996000	6250
997000	4687
998000	4687
999000	4687
1000000	6250
1001000	4687
1002000	4687
1003000	6250
1004000	4687
1005000	4687
1006000	6250
1007000	4687
1008000	6250
1009000	4687
1010000	4687
1011000	6250
1012000	4687
1013000	4687
1014000	4687
1015000	6250
1016000	4687
1017000	4687
1018000	6250
1019000	4687
1020000	6250
1021000	4687
1022000	4687
1023000	6250
1024000	4687
1025000	4687
1026000	6250
1027000	4687
1028000	4687
1029000	6250
1030000	4687
1031000	4687
1032000	6250
1033000	4687
1034000	6250
1035000	4687
1036000	6250
1037000	4687
1038000	4687
1039000	6250
1040000	4687
1041000	6250
1042000	4687
1043000	6250
1044000	4687
1045000	6250
1046000	4687
1047000	6250
1048000	4687
1049000	6250
1050000	4687
1051000	6250
1052000	4687
1053000	6250
1054000	4687
1055000	6250
1056000	4687
1057000	6250
1058000	4687
1059000	4687
1060000	6250
1061000	4687
1062000	6250
1063000	4687
1064000	6250
1065000	4687
1066000	6250
1067000	4687
1068000	6250
1069000	4687
1070000	4687
1071000	6250
1072000	6250
1073000	4687
1074000	6250
1075000	4687
1076000	6250
1077000	4687
1078000	6250
1079000	6250
1080000	4687
1081000	6250
1082000	4687
1083000	6250
1084000	4687
1085000	6250
1086000	4687
1087000	6250
1088000	4687
1089000	6250
1090000	4687
1091000	6250
1092000	6250
1093000	4687
1094000	6250
1095000	4687
1096000	6250
1097000	4687
1098000	6250
1099000	6250
1100000	4687
1101000	6250
1102000	4687
1103000	6250
1104000	6250
1105000	4687
1106000	6250
1107000	4687
1108000	6250
1109000	6250
1110000	4687
1111000	6250
1112000	6250
1113000	4687
1114000	6250
1115000	6250
1116000	6250
1117000	4687
1118000	6250
1119000	6250
1120000	4687
1121000	6250
1122000	6250
1123000	4687
1124000	6250
1125000	6250
1126000	6250
1127000	4687
1128000	6250
1129000	4687
1130000	6250
1131000	6250
1132000	4687
1133000	6250
1134000	6250
1135000	6250
1136000	4687
1137000	6250
1138000	4687
1139000	6250
1140000	6250
1141000	6250
1142000	4687
1143000	6250
1144000	6250
1145000	4687
1146000	6250
1147000	6250
1148000	6250
1149000	4687
1150000	6250
